lot,location
NORTH POINT ST 100,"(37.8074267, -122.4073258)"
NORTH POINT ST 200,"(37.8074267, -122.4073258)"
NORTH POINT ST 300,"(37.8074267, -122.4073258)"
NORTH POINT ST 400,"(37.8074267, -122.4073258)"
NORTH POINT ST 500,"(37.8074267, -122.4073258)"
NORTH POINT ST 600,"(37.8074267, -122.4073258)"
NORTH POINT ST 900,"(37.8074267, -122.4073258)"
OAK ST 0,"(37.771405, -122.4538969)"
OAK ST 100,"(37.775293, -122.42113)"
OFARRELL ST 1700,"(37.783355, -122.432876)"
PERRY ST 100,"(37.782091, -122.397025)"
PIERCE ST 3200,"(37.799616, -122.439267)"
PIERCE ST 3300,"(37.800535, -122.43942)"
PINE ST 2300,"(37.788012, -122.433817)"
POLK ST 0,"(37.7973742, -122.4220735)"
POLK ST 100,"(37.777647, -122.417966)"
POLK ST 300,"(37.7950277, -122.4216015)"
POLK ST 3100,"(37.805422, -122.423577)"
POST ST 1600,"(37.785844, -122.428319)"
POST ST 1700,"(37.78564, -122.4302214)"
POST ST 1800,"(37.785423, -122.43162)"
POST ST 1900,"(37.7845657, -122.435086)"
POWELL ST 2300,"(37.80596, -122.411872)"
POWELL ST 2400,"(37.806893, -122.412063)"
REDWOOD ST 100,"(37.780835, -122.418879)"
RITCH ST 300,"(37.779517, -122.394804)"
SACRAMENTO ST 2400,"(37.790106, -122.432555)"
SACRAMENTO ST 2500,"(37.789899, -122.434197)"
SANSOME ST 500,"(37.8053056, -122.4035876)"
SANSOME ST 600,"(37.795854, -122.401597)"
SCOTT ST 3200,"(37.799431, -122.440917)"
SCOTT ST 3300,"(37.800325, -122.441099)"
SOUTH PARK 0,"(37.784108, -122.393885)"
PARK ST 100 S,"(37.7366293, -122.4242868)"
SPEAR ST 200,"(37.791165, -122.392489)"
SPEAR ST 300,"(37.7898305, -122.3909595)"
SPEAR ST 400,"(37.788692, -122.389393)"
STEINER ST 1500,"(37.7891775, -122.4355965)"
STEINER ST 1600,"(37.784287, -122.434485)"
STEINER ST 3300,"(37.799831, -122.437629)"
STEUART ST 0,"(37.7922386, -122.3919522)"
STEUART ST 100,"(37.7938107169811, -122.394055584906)"
STOCKTON ST 2300,"(37.807098, -122.41042)"
SUTTER ST 1800,"(37.7866101, -122.430236)"
SUTTER ST 2000,"(37.786147, -122.433442)"
TAYLOR ST 2500,"(37.805552, -122.415164)"
TAYLOR ST 2600,"(37.806478, -122.415353)"
TAYLOR ST 2700,"(37.807411, -122.415538)"
TEHAMA ST 100,"(37.785312, -122.399371)"
TOWNSEND ST 0,"(37.775278, -122.397336)"
TOWNSEND ST 100,"(37.780578, -122.390711)"
TOWNSEND ST 200,"(37.7787837, -122.3931047)"
TOWNSEND ST 300,"(37.77706, -122.395165)"
VALENCIA ST 1000,"(37.756765, -122.4212775)"
VALENCIA ST 1100,"(37.7551971, -122.421125)"
VALENCIA ST 1200,"(37.7536039, -122.4209734)"
VALENCIA ST 400,"(37.7664478, -122.4222039)"
VALENCIA ST 500,"(37.7646962, -122.4220614)"
VALENCIA ST 600,"(37.763171, -122.421824)"
VALENCIA ST 700,"(37.761572, -122.42167)"
VALENCIA ST 800,"(37.7599492, -122.4215575)"
VALENCIA ST 900,"(37.75837, -122.421363)"
VAN NESS AVE 0,"(37.7753662, -122.4192511)"
100 VAN NESS AVE,"(37.77664285, -122.41918266056)"
200 VAN NESS AVE,"(37.7753662, -122.4192511)"
300 VAN NESS AVE,"(37.7753662, -122.4192511)"
400 VAN NESS AVE,"(37.7753662, -122.4192511)"
500 VAN NESS AVE,"(37.7753662, -122.4192511)"
600 VAN NESS AVE,"(37.7753662, -122.4192511)"
700 VAN NESS AVE,"(37.782108, -122.420464)"
WASHINGTON ST 0,"(37.7953358, -122.4048744)"
WASHINGTON ST 100,"(37.796198043956, -122.398690532967)"
WASHINGTON ST 200,"(37.7961261676736, -122.397972125681)"
WASHINGTON ST 2400,"(37.7965196, -122.3958387)"
WASHINGTON ST 2500,"(37.7965196, -122.3958387)"
WASHINGTON ST 300,"(37.7960496923077, -122.399804269231)"
WASHINGTON ST 400,"(37.7965196, -122.3958387)"
WASHINGTON ST 500,"(37.795783, -122.401845)"
WEBSTER ST 1500,"(37.7766692, -122.4296965)"
WEBSTER ST 1600,"(37.7766692, -122.4296965)"
WEBSTER ST 2100,"(37.7766692, -122.4296965)"
WEBSTER ST 2200,"(37.791055, -122.432484)"
